LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1091
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2012 14:14:24,0                 
Time,Ampl
998909,-2.47182e-010
998910,-7.02942e-010
998911,-5.67158e-010
998912,-3.34621e-010
998913,-4.60662e-010
998914,-4.00675e-010
998915,-7.07599e-010
998916,-4.43015e-010
998917,-6.80454e-010
998918,-5.60908e-010
998919,-3.92831e-010
998920,-3.56128e-010
998921,-5.15074e-010
998922,-1.05803e-009
998923,-4.22917e-010
998924,-7.92955e-010
998925,-5.98163e-010
998926,-1.80754e-009
998927,-1.28585e-009
998928,-7.75308e-010
998929,-5.23653e-010
998930,-9.91362e-010
998931,-4.45037e-010
998932,-7.1103e-010
998933,-3.17035e-010
998934,-1.01385e-009
998935,-5.78432e-010
998936,-1.12077e-009
998937,-5.0956e-010
998938,-7.71692e-010
998939,-6.26962e-010
998940,-8.04229e-010
998941,-3.37133e-010
998942,-6.58579e-010
998943,-4.15748e-010
998944,-1.02408e-009
998945,-1.06918e-009
998946,-2.93628e-010
998947,-5.10234e-010
998948,-2.88113e-010
998949,-3.70956e-010
998950,-7.07844e-010
998951,-1.12831e-009
998952,-3.75062e-010
998953,-5.10969e-010
998954,-4.24817e-010
998955,-4.42525e-010
998956,-7.21815e-010
998957,-4.29964e-010
998958,-5.74327e-010
998959,-5.29658e-010
998960,-5.66913e-010
998961,-5.88175e-010
998962,-8.65504e-010
998963,-3.83211e-010
998964,-4.15626e-010
998965,-4.3315e-010
998966,-2.2353e-009
998967,-3.75797e-010
998968,-1.64118e-009
998969,-8.64217e-010
998970,-8.02452e-010
998971,-3.00184e-010
998972,-3.40258e-010
998973,-6.31557e-010
998974,-6.00307e-010
998975,-4.28555e-010
998976,-6.92464e-010
998977,-5.80883e-010
998978,-5.57292e-010
998979,-5.22734e-010
998980,-1.25362e-009
998981,-4.90136e-010
998982,-1.11624e-009
998983,-4.49817e-010
998984,-3.59804e-010
998985,-4.62072e-010
998986,-8.38359e-010
998987,-5.29658e-010
998988,-6.72121e-010
998989,-1.12243e-009
998990,-5.96079e-010
998991,-9.51656e-010
998992,-6.34621e-010
998993,-2.86888e-010
998994,-3.47795e-010
998995,-6.53187e-010
998996,-8.26104e-010
998997,-9.83948e-010
998998,-5.49265e-010
998999,-1.31771e-009
999000,-3.48285e-010
999001,-8.08212e-010
999002,-1.01477e-009
999003,-3.49572e-010
999004,-8.53862e-010
999005,-1.06262e-009
999006,-1.63425e-009
999007,-4.93812e-010
999008,-7.79107e-010
999009,-1.07543e-009
999010,-4.90381e-010
999011,-1.14584e-009
999012,-8.03678e-010
999013,-3.22059e-010
999014,-4.70037e-010
999015,-5.68444e-010
999016,-8.61827e-010
999017,-8.30087e-010
999018,-8.77146e-010
999019,-5.59621e-010
999020,-4.7114e-010
999021,-7.53923e-010
999022,-3.22427e-010
999023,-3.76042e-010
999024,-5.43996e-010
999025,-1.0712e-009
999026,-7.45834e-010
999027,-7.06312e-010
999028,-3.06557e-010
999029,-7.83886e-010
999030,-7.00552e-010
999031,-1.13548e-009
999032,-5.16484e-010
999033,-6.4706e-010
999034,-1.00429e-009
999035,-7.78494e-010
999036,-4.41238e-010
999037,-1.23364e-009
999038,-1.15619e-009
999039,-1.16697e-009
999040,-3.15809e-010
999041,-1.00221e-009
999042,-8.90626e-010
999043,-4.11888e-010
999044,-1.43242e-009
999045,-3.81189e-010
999046,-6.07231e-010
999047,-3.67341e-010
999048,-5.52452e-010
999049,-7.10663e-010
999050,-9.83273e-010
999051,-3.84743e-010
999052,-9.73531e-010
999053,-5.37868e-010
999054,-3.84621e-010
999055,-6.5956e-010
999056,-3.31373e-010
999057,-4.36214e-010
999058,-1.14927e-009
999059,-1.33603e-009
999060,-2.875e-010
999061,-3.28983e-010
999062,-5.79842e-010
999063,-1.48015e-009
999064,-4.05148e-010
999065,-4.92158e-010
999066,-3.91054e-010
999067,-6.46141e-010
999068,-5.14278e-010
999069,-6.41668e-010
999070,-5.96631e-010
999071,-4.89339e-010
999072,-7.78371e-010
999073,-1.02347e-009
999074,-4.38665e-010
999075,-4.21998e-010
999076,-4.16116e-010
999077,-6.10418e-010
999078,-6.00062e-010
999079,-9.02268e-010
999080,-7.30087e-010
999081,-8.45528e-010
999082,-3.43567e-010
999083,-3.65074e-010
999084,-9.53188e-010
999085,-3.91912e-010
999086,-1.01042e-009
999087,-8.7592e-010
999088,-1.0652e-009
999089,-1.3057e-009
999090,-7.31129e-010
999091,-9.02514e-010
999092,-6.42035e-010
999093,-7.73224e-010
999094,-6.48959e-010
999095,-7.4994e-010
999096,-1.18015e-009
999097,-1.04155e-009
999098,-4.46324e-010
999099,-4.09376e-010
999100,-7.29719e-010
999101,-3.37562e-010
999102,-5.83947e-010
999103,-6.65197e-010
999104,-6.36766e-010
999105,-4.93935e-010
999106,-3.57905e-010
999107,-1.39706e-009
999108,-7.64768e-010
999109,-6.54045e-010
999110,-5.16238e-010
999111,-3.29596e-010
999112,-3.02758e-010
999113,-3.5766e-010
999114,-4.97427e-010
999115,-7.92281e-010
999116,-8.51043e-010
999117,-5.99572e-010
999118,-8.22244e-010
999119,-4.49143e-010
999120,-7.3983e-010
999121,-5.52819e-010
999122,-4.43628e-010
999123,-4.10111e-010
999124,-2.04841e-010
999125,-4.19976e-010
999126,-6.04658e-010
999127,-3.86459e-010
999128,-4.56557e-010
999129,-2.9853e-010
999130,-5.12378e-010
999131,-5.95834e-010
999132,-1.58591e-009
999133,-1.7766e-009
999134,-3.46753e-010
999135,-5.65871e-010
999136,-8.06803e-010
999137,-4.79351e-010
999138,-5.15442e-010
999139,-4.26471e-010
999140,-5.769e-010
999141,-8.56925e-010
999142,-1.48977e-009
999143,-6.86337e-010
999144,-6.98469e-010
999145,-3.894e-010
999146,-5.71631e-010
999147,-4.644e-010
999148,-7.65442e-010
999149,-6.90013e-010
999150,-7.52268e-010
999151,-4.36765e-010
999152,-1.27923e-009
999153,-1.24492e-009
999154,-7.5429e-010
999155,-3.36152e-010
999156,-9.80577e-010
999157,-1.50803e-009
999158,-7.57354e-010
999159,-8.55393e-010
999160,-4.98408e-010
999161,-5.8652e-010
999162,-6.22734e-010
999163,-6.48469e-010
999164,-6.94793e-010
999165,-5.25185e-010
999166,-1.18989e-009
999167,-8.76778e-010
999168,-9.28494e-010
999169,-5.78677e-010
999170,-3.87562e-010
999171,-3.33334e-010
999172,-1.20717e-009
999173,-6.62133e-010
999174,-6.53432e-010
999175,-1.13033e-009
999176,-7.89339e-010
999177,-3.1489e-010
999178,-8.11643e-010
999179,-9.45283e-010
999180,-3.39951e-010
999181,-2.89277e-010
999182,-7.44425e-010
999183,-1.49731e-009
999184,-7.64033e-010
999185,-7.72489e-010
999186,-2.65625e-010
999187,-1.03689e-009
999188,-5.15687e-010
999189,-4.27145e-010
999190,-6.22305e-010
999191,-5.30025e-010
999192,-6.53432e-010
999193,-4.94486e-010
999194,-7.04229e-010
999195,-4.10907e-010
999196,-2.48891e-009
999197,-1.1269e-009
999198,-5.4081e-010
999199,-4.32231e-010
999200,-7.7733e-010
999201,-3.49817e-010
999202,-4.60908e-010
999203,-6.35111e-010
999204,-4.00491e-010
999205,-4.51839e-010
999206,-4.61582e-010
999207,-3.46385e-010
999208,-7.53555e-010
999209,-5.70773e-010
999210,-6.87869e-010
999211,-1.05791e-009
999212,-9.89952e-010
999213,-3.38175e-010
999214,-2.58579e-010
999215,-9.59867e-010
999216,-5.03922e-010
999217,-6.5282e-010
999218,-4.51594e-010
999219,-9.38237e-010
999220,-1.07519e-009
999221,-3.12991e-010
999222,-3.20037e-010
999223,-1.02243e-009
999224,-6.08518e-010
999225,-6.68567e-010
999226,-5.25552e-010
999227,-2.7788e-010
999228,-1.10784e-009
999229,-4.6103e-010
999230,-8.1967e-010
999231,-7.182e-010
999232,-6.91729e-010
999233,-8.63972e-010
999234,-7.50307e-010
999235,-6.14768e-010
999236,-6.72918e-010
999237,-1.71183e-009
999238,-5.95467e-010
999239,-8.81374e-010
999240,-8.68567e-010
999241,-5.3315e-010
999242,-9.53065e-010
999243,-5.3315e-010
999244,-3.83395e-010
999245,-1.01973e-009
999246,-5.19425e-010
999247,-9.27575e-010
999248,-9.74573e-010
999249,-3.62255e-010
999250,-1.04075e-009
999251,-3.72856e-010
999252,-9.60357e-010
999253,-9.68568e-010
999254,-2.18683e-009
999255,-1.04755e-009
999256,-5.38359e-010
999257,-1.01324e-009
999258,-5.60111e-010
999259,-6.54229e-010
999260,-5.45895e-010
999261,-5.16238e-010
999262,-7.74756e-010
999263,-4.85479e-010
999264,-3.48836e-010
999265,-4.59131e-010
999266,-8.932e-010
999267,-3.64155e-010
999268,-8.4608e-010
999269,-4.92525e-010
