LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1101
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2012 13:44:31,0                 
Time,Ampl
998899,-3.44118e-010
998900,-8.10417e-010
998901,-3.00895e-009
998902,-1.45699e-009
998903,-1.07206e-009
998904,-9.9277e-010
998905,-1.80331e-009
998906,-1.61324e-009
998907,-5.3554e-010
998908,-5.51471e-010
998909,-6.45589e-010
998910,-7.35907e-010
998911,-8.96324e-010
998912,-1.47537e-009
998913,-2.29767e-009
998914,-2.91177e-010
998915,-1.14289e-009
998916,-6.10417e-010
998917,-2.03554e-009
998918,-1.10797e-009
998919,-1.00074e-009
998920,-1.04081e-009
998921,-1.67169e-009
998922,-8.37746e-010
998923,-6.98775e-010
998924,-7.2255e-010
998925,-6.01348e-010
998926,-1.38027e-009
998927,-1.54841e-009
998928,-6.98775e-010
998929,-9.01349e-010
998930,-1.44069e-009
998931,-6.29657e-010
998932,-9.56006e-010
998933,-1.65735e-009
998934,-1.04878e-009
998935,-5.88971e-010
998936,-1.4087e-009
998937,-3.91177e-010
998938,-8.94976e-010
998939,-6.76961e-010
998940,-3.50368e-010
998941,-1.61912e-009
998942,-1.51287e-009
998943,-3.70589e-010
998944,-3.24387e-010
998945,-1.34412e-009
998946,-8.23162e-010
998947,-1.03248e-009
998948,-7.05883e-010
998949,-1.45503e-009
998950,-3.66054e-010
998951,-6.59314e-010
998952,-1.41814e-009
998953,-2.89314e-009
998954,-4.53395e-009
998955,-1.01262e-009
998956,-1.68824e-009
998957,-5.61643e-010
998958,-7.6826e-010
998959,-4.48897e-010
998960,-7.2353e-010
998961,-1.12194e-009
998962,-9.53187e-010
998963,-1.28407e-009
998964,-1.49669e-009
998965,-1.20454e-009
998966,-1.91409e-009
998967,-2.46397e-009
998968,-1.30294e-009
998969,-8.49388e-010
998970,-1.19032e-009
998971,-9.9853e-010
998972,-9.31741e-010
998973,-1.63579e-009
998974,-1.99534e-009
998975,-1.15711e-009
998976,-8.81618e-010
998977,-1.62623e-009
998978,-8.15932e-010
998979,-3.05637e-010
998980,-4.85785e-010
998981,-9.2402e-010
998982,-6.52574e-010
998983,-9.87378e-010
998984,-1.2174e-009
998985,-9.49756e-010
998986,-2.57402e-009
998987,-8.40074e-010
998988,-6.11398e-010
998989,-9.20957e-010
998990,-1.24485e-009
998991,-2.14718e-009
998992,-3.02574e-010
998993,-5.08456e-010
998994,-1.24412e-009
998995,-3.22182e-010
998996,-6.19118e-010
998997,-3.21201e-010
998998,-1.23284e-009
998999,-1.35441e-009
999000,-7.64706e-010
999001,-9.24265e-010
999002,-9.06496e-010
999003,-3.59927e-010
999004,-1.50784e-009
999005,-2.17083e-009
999006,-8.87133e-010
999007,-6.34192e-010
999008,-2.85772e-009
999009,-1.98505e-009
999010,-1.36299e-009
999011,-8.23653e-010
999012,-4.24473e-009
999013,-1.33983e-009
999014,-2.0174e-009
999015,-1.58579e-009
999016,-3.38236e-010
999017,-4.52942e-010
999018,-6.16054e-010
999019,-1.1451e-009
999020,-2.02917e-009
999021,-1.11642e-009
999022,-1.69951e-009
999023,-3.98652e-009
999024,-2.21471e-009
999025,-8.81128e-010
999026,-9.08947e-010
999027,-3.90319e-010
999028,-1.82561e-009
999029,-3.76814e-009
999030,-3.79902e-010
999031,-1.77206e-009
999032,-5.13236e-010
999033,-7.62501e-010
999034,-1.80282e-009
999035,-2.99338e-009
999036,-1.10956e-009
999037,-1.82488e-009
999038,-2.85172e-010
999039,-5.67402e-010
999040,-4.15196e-010
999041,-1.02623e-009
999042,-3.4902e-010
999043,-6.35907e-010
999044,-9.71692e-010
999045,-3.61765e-009
999046,-1.52096e-009
999047,-7.97059e-010
999048,-1.13652e-009
999049,-1.23297e-009
999050,-3.36275e-010
999051,-9.52084e-010
999052,-2.3864e-009
999053,-1.36655e-009
999054,-8.05638e-010
999055,-5.9375e-010
999056,-3.875e-010
999057,-9.65564e-010
999058,-1.61287e-009
999059,-8.67648e-010
999060,-7.09927e-010
999061,-7.47182e-010
999062,-1.61532e-009
999063,-4.8027e-010
999064,-6.82108e-010
999065,-5.19608e-010
999066,-4.82843e-010
999067,-3.89216e-010
999068,-1.19939e-009
999069,-6.76961e-010
999070,-9.44976e-010
999071,-1.45098e-009
999072,-1.03248e-009
999073,-1.6049e-009
999074,-1.47083e-009
999075,-3.83824e-010
999076,-1.27255e-009
999077,-1.22733e-009
999078,-2.46311e-009
999079,-1.21079e-009
999080,-1.77672e-009
999081,-1.29449e-009
999082,-1.19387e-009
999083,-5.31128e-010
999084,-1.14779e-009
999085,-1.13775e-009
999086,-1.06887e-009
999087,-3.93995e-010
999088,-5.38848e-010
999089,-1.12034e-009
999090,-1.1049e-009
999091,-1.73468e-009
999092,-1.31385e-009
999093,-9.7304e-010
999094,-1.04853e-009
999095,-1.68431e-009
999096,-1.09436e-009
999097,-2.58284e-009
999098,-1.2478e-009
999099,-4.55441e-009
999100,-9.79903e-010
999101,-5.39461e-010
999102,-7.63603e-010
999103,-2.23885e-009
999104,-3.02941e-010
999105,-1.38517e-009
999106,-1.0886e-009
999107,-1.04179e-009
999108,-1.49743e-009
999109,-7.38481e-010
999110,-3.08579e-010
999111,-8.74633e-010
999112,-2.89596e-009
999113,-1.24277e-009
999114,-3.0527e-010
999115,-8.43873e-010
999116,-7.43505e-010
999117,-1.67745e-009
999118,-3.98897e-010
999119,-1.48235e-009
999120,-3.6826e-010
999121,-8.01839e-010
999122,-7.60295e-010
999123,-9.76839e-010
999124,-7.42525e-010
999125,-6.67157e-010
999126,-1.12745e-009
999127,-1.58971e-009
999128,-1.05539e-009
999129,-1.3353e-009
