LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1197
Segment,TrigTime,TimeSinceSegment1
#1,01-Dec-2012 07:08:20,0                 
Time,Ampl
998803,-1.05515e-010
998804,-1.04069e-010
998805,-1.43726e-010
998806,-1.72378e-010
998807,-2.6277e-010
998808,-3.93333e-010
998809,-2.62647e-010
998810,-1.63186e-010
998811,-1.35441e-010
998812,-2.19853e-010
998813,-1.25956e-010
998814,-1.3223e-010
998815,-2.02427e-010
998816,-8.65687e-011
998817,-1.18652e-010
998818,-1.89853e-010
998819,-1.03848e-010
998820,-6.72549e-011
998821,-4.90907e-010
998822,-1.69976e-010
998823,-2.16177e-010
998824,-1.59289e-010
998825,-1.55319e-010
998826,-1.55613e-010
998827,-3.42476e-010
998828,-8.13481e-011
998829,-1.66005e-010
998830,-5.60049e-011
998831,-2.40833e-010
998832,-7.96814e-011
998833,-1.39534e-010
998834,-1.04412e-010
998835,-1.47892e-010
998836,-1.82598e-010
998837,-1.15833e-010
998838,-1.29216e-010
998839,-8.31373e-011
998840,-1.56275e-010
998841,-6.93873e-010
998842,-1.48333e-010
998843,-7.70589e-011
998844,-1.45245e-010
998845,-1.12941e-010
998846,-1.07868e-010
998847,-2.50956e-010
998848,-1.62696e-010
998849,-1.33995e-010
998850,-1.15956e-010
998851,-1.33652e-010
998852,-1.78064e-010
998853,-1.56765e-010
998854,-2.25809e-010
998855,-3.51373e-010
998856,-1.35074e-010
998857,-1.97255e-010
998858,-1.42598e-010
998859,-1.49191e-010
998860,-3.55221e-010
998861,-1.32794e-010
998862,-1.41201e-010
998863,-2.25466e-010
998864,-1.74265e-010
998865,-1.54657e-010
998866,-1.9152e-010
998867,-1.57549e-010
998868,-3.38946e-010
998869,-1.4951e-010
998870,-2.57549e-010
998871,-1.27328e-010
998872,-1.89632e-010
998873,-2.6451e-010
998874,-2.28186e-010
998875,-1.71936e-010
998876,-1.50833e-010
998877,-1.78064e-010
998878,-1.61103e-010
998879,-1.23603e-010
998880,-1.30882e-010
998881,-1.28039e-010
998882,-9.22304e-011
998883,-1.28578e-010
998884,-1.64461e-010
998885,-1.86716e-010
998886,-2.93088e-010
998887,-1.40441e-010
998888,-1.51226e-010
998889,-1.01103e-010
998890,-3.92402e-010
998891,-1.51642e-010
998892,-2.60074e-010
998893,-1.41667e-010
998894,-5.26471e-010
998895,-2.78922e-010
998896,-1.56765e-010
998897,-1.09485e-010
998898,-1.26299e-010
998899,-1.2375e-010
998900,-1.38701e-010
998901,-4.28088e-010
998902,-7.16201e-010
998903,-2.72892e-010
998904,-6.1201e-011
998905,-1.81373e-010
998906,-1.11005e-010
998907,-1.50662e-010
998908,-1.58873e-010
998909,-2.17917e-010
998910,-1.05784e-010
998911,-1.13848e-010
998912,-9.53922e-011
998913,-1.78064e-010
998914,-1.16936e-010
998915,-1.69436e-010
998916,-2.86961e-010
998917,-2.03358e-010
998918,-1.48088e-010
998919,-1.07328e-010
998920,-1.27476e-010
998921,-2.12868e-010
998922,-1.89412e-010
998923,-1.52525e-010
998924,-1.11961e-010
998925,-2.32304e-010
998926,-1.05025e-010
998927,-2.2973e-010
998928,-3.76961e-010
998929,-1.38652e-010
998930,-1.56005e-010
998931,-1.23946e-010
998932,-1.55172e-010
998933,-2.47525e-010
998934,-2.2951e-010
998935,-1.30882e-010
998936,-1.15466e-010
998937,-6.54902e-011
998938,-1.43775e-010
998939,-1.16324e-010
998940,-1.82941e-010
998941,-1.83113e-010
998942,-1.89657e-010
998943,-1.57279e-010
998944,-1.76422e-010
