LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1250
Segment,TrigTime,TimeSinceSegment1
#1,01-Dec-2012 06:12:10,0                 
Time,Ampl
998750,-1.50306e-010
998751,-3.29841e-010
998752,-2.52574e-010
998753,-1.79228e-010
998754,-1.49632e-010
998755,-1.99571e-010
998756,-1.74632e-010
998757,-1.95956e-010
998758,-5.05515e-010
998759,-4.82537e-010
998760,-1.41422e-010
998761,-1.4185e-010
998762,-2.12806e-010
998763,-2.91177e-010
998764,-2.56985e-010
998765,-1.56863e-010
998766,-1.23897e-010
998767,-2.24755e-010
998768,-5.6826e-010
998769,-1.82598e-010
998770,-2.23346e-010
998771,-2.06495e-010
998772,-3.125e-010
998773,-1.46017e-010
998774,-4.48652e-010
998775,-1.83088e-010
998776,-2.00429e-010
998777,-1.34185e-009
998778,-1.93811e-010
998779,-1.61826e-010
998780,-2.12439e-010
998781,-2.90012e-010
998782,-4.83578e-010
998783,-1.98775e-010
998784,-7.21814e-010
998785,-2.56679e-010
998786,-1.54534e-010
998787,-1.45527e-010
998788,-2.16728e-010
998789,-6.76655e-010
998790,-2.22917e-010
998791,-1.96875e-010
998792,-1.89154e-010
998793,-1.8315e-010
998794,-2.21691e-010
998795,-2.54105e-010
998796,-2.3799e-010
998797,-1.99816e-010
998798,-4.69424e-010
998799,-1.60907e-010
998800,-2.17034e-010
998801,-1.99449e-010
998802,-2.00613e-010
998803,-2.96814e-010
998804,-1.42157e-010
998805,-3.55331e-010
998806,-1.33578e-010
998807,-2.55576e-010
998808,-4.73223e-010
998809,-4.67708e-010
998810,-4.53738e-010
998811,-5.02696e-010
998812,-3.21752e-010
998813,-2.23101e-010
998814,-1.77451e-010
998815,-5.52083e-010
998816,-3.38971e-010
998817,-2.50245e-010
998818,-2.41238e-010
998819,-3.76103e-010
998820,-1.66973e-010
998821,-4.52022e-010
998822,-1.70159e-010
998823,-1.33272e-010
998824,-2.58027e-010
998825,-1.72243e-010
998826,-4.96507e-010
998827,-3.0913e-010
998828,-1.67218e-010
998829,-1.66422e-010
998830,-6.60233e-010
998831,-3.35662e-010
998832,-2.49265e-010
998833,-2.05025e-010
998834,-1.58395e-010
998835,-8.79534e-010
998836,-5.34681e-010
998837,-8.58517e-010
998838,-2.40257e-010
998839,-1.67402e-010
998840,-8.02635e-010
998841,-7.15993e-010
998842,-2.00797e-010
998843,-2.23407e-010
998844,-3.03431e-010
998845,-1.98897e-010
998846,-1.60662e-010
998847,-2.0723e-010
998848,-1.5576e-010
998849,-2.11581e-010
998850,-5.01409e-010
998851,-1.42586e-010
998852,-1.45349e-009
998853,-2.14154e-010
998854,-2.00919e-010
998855,-1.82782e-010
998856,-3.24632e-010
998857,-1.78002e-010
998858,-1.92708e-010
998859,-4.79902e-010
998860,-3.1973e-010
998861,-3.45282e-010
998862,-2.45895e-010
998863,-9.96753e-010
998864,-3.09743e-010
998865,-3.68689e-010
998866,-1.59865e-010
998867,-1.22672e-010
998868,-2.87745e-010
998869,-2.20895e-010
998870,-1.28064e-010
998871,-3.02941e-010
998872,-2.12377e-010
998873,-1.99387e-010
998874,-2.53922e-010
998875,-3.16177e-010
998876,-1.80331e-010
998877,-2.51164e-010
