LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1517
Segment,TrigTime,TimeSinceSegment1
#1,02-Dec-2012 09:09:40,0                 
Time,Ampl
998483,-1.28879e-010
998484,-1.11716e-010
998485,-1.13585e-010
998486,-2.18787e-010
998487,-1.31955e-010
998488,-1.54008e-010
998489,-1.43039e-010
998490,-1.27935e-010
998491,-1.70196e-010
998492,-1.59755e-010
998493,-1.74216e-010
998494,-1.30558e-010
998495,-1.88015e-010
998496,-1.85466e-010
998497,-1.70196e-010
998498,-1.50423e-010
998499,-1.54927e-010
998500,-2.08187e-010
998501,-1.85509e-010
998502,-1.59283e-010
998503,-1.59461e-010
998504,-1.49155e-010
998505,-2.04908e-010
998506,-1.78824e-010
998507,-1.90527e-010
998508,-1.547e-010
998509,-1.89823e-010
998510,-1.70392e-010
998511,-1.66998e-010
998512,-1.35809e-010
998513,-1.23082e-010
998514,-1.78517e-010
998515,-1.78867e-010
998516,-1.61814e-010
998517,-1.73946e-010
998518,-1.34498e-010
998519,-1.61685e-010
998520,-1.54982e-010
998521,-8.29597e-011
998522,-6.87991e-011
998523,-9.038e-011
998524,-1.2152e-010
998525,-1.50564e-010
998526,-1.53009e-010
998527,-1.79326e-010
998528,-1.83432e-010
998529,-1.18922e-010
998530,-2.06704e-010
998531,-1.53787e-010
998532,-1.8103e-010
998533,-1.90821e-010
998534,-2.17543e-010
998535,-1.7674e-010
998536,-2.07623e-010
998537,-2.0212e-010
998538,-1.96986e-010
998539,-1.79914e-010
998540,-1.94136e-010
998541,-1.34921e-010
998542,-2.08597e-010
998543,-1.88707e-010
998544,-2.10374e-010
998545,-1.66937e-010
998546,-1.64657e-010
998547,-1.76685e-010
998548,-2.01802e-010
998549,-2.10527e-010
998550,-1.65153e-010
998551,-1.54596e-010
998552,-1.96912e-010
998553,-1.71734e-010
998554,-1.97831e-010
998555,-1.70595e-010
998556,-1.66489e-010
998557,-1.4364e-010
998558,-1.75999e-010
998559,-1.9997e-010
998560,-1.86789e-010
998561,-1.73217e-010
998562,-1.63812e-010
998563,-1.8141e-010
998564,-1.41091e-010
998565,-1.84663e-010
998566,-1.8565e-010
998567,-1.83444e-010
998568,-1.82678e-010
998569,-1.56183e-010
998570,-2.02402e-010
998571,-2.11949e-010
998572,-2.16624e-010
998573,-1.74651e-010
998574,-1.75919e-010
998575,-1.77445e-010
998576,-2.08468e-010
998577,-1.76201e-010
998578,-1.47427e-010
998579,-1.88965e-010
998580,-1.68315e-010
998581,-1.91881e-010
998582,-1.53805e-010
998583,-2.00803e-010
998584,-1.78989e-010
998585,-1.39277e-010
998586,-1.82537e-010
998587,-1.80797e-010
998588,-1.95104e-010
998589,-1.96465e-010
998590,-1.65644e-010
998591,-1.89247e-010
998592,-1.75319e-010
998593,-1.64044e-010
998594,-1.82641e-010
998595,-1.2614e-010
998596,-1.52139e-010
998597,-2.11287e-010
998598,-1.65601e-010
998599,-1.91636e-010
998600,-1.6326e-010
998601,-1.81771e-010
998602,-1.85135e-010
998603,-1.73664e-010
998604,-1.49081e-010
998605,-1.42782e-010
998606,-1.94326e-010
998607,-1.6508e-010
998608,-1.29369e-010
998609,-1.23879e-010
998610,-1.79565e-010
998611,-1.90411e-010
998612,-1.73965e-010
998613,-1.56403e-010
998614,-1.59675e-010
998615,-1.85202e-010
998616,-1.80031e-010
998617,-1.82702e-010
998618,-1.82819e-010
998619,-1.92702e-010
998620,-2.00944e-010
998621,-1.8671e-010
998622,-1.8731e-010
998623,-1.96998e-010
998624,-1.71287e-010
998625,-2.38922e-010
998626,-1.87261e-010
998627,-1.86759e-010
998628,-2.10172e-010
998629,-1.66079e-010
998630,-2.2402e-010
998631,-1.8497e-010
998632,-1.31979e-010
998633,-1.68315e-010
998634,-1.50141e-010
998635,-1.69792e-010
998636,-1.53395e-010
998637,-1.88812e-010
998638,-2.03475e-010
998639,-1.76998e-010
998640,-1.60061e-010
998641,-1.54645e-010
998642,-1.8027e-010
998643,-1.64351e-010
998644,-1.62071e-010
998645,-1.55209e-010
998646,-1.75178e-010
998647,-1.43052e-010
998648,-1.70172e-010
998649,-1.63732e-010
998650,-1.91832e-010
998651,-1.85392e-010
998652,-1.59063e-010
998653,-1.45686e-010
998654,-1.68468e-010
998655,-2.07212e-010
998656,-1.64761e-010
998657,-1.79914e-010
998658,-1.59841e-010
998659,-2.07635e-010
998660,-1.83291e-010
998661,-1.8497e-010
998662,-1.96796e-010
998663,-1.73732e-010
998664,-1.85098e-010
998665,-1.72531e-010
998666,-1.48775e-010
998667,-2.2269e-010
998668,-1.8315e-010
998669,-1.78867e-010
998670,-2.08597e-010
998671,-1.78236e-010
998672,-1.64222e-010
998673,-1.76471e-010
998674,-1.8766e-010
998675,-1.81783e-010
998676,-1.78585e-010
998677,-1.78952e-010
998678,-1.84841e-010
998679,-2.17825e-010
998680,-2.00049e-010
998681,-1.8693e-010
998682,-2.16287e-010
998683,-1.88144e-010
998684,-1.74437e-010
998685,-1.59792e-010
998686,-1.56299e-010
998687,-1.73707e-010
998688,-1.57206e-010
998689,-1.80925e-010
998690,-2.05705e-010
998691,-1.62672e-010
998692,-1.91777e-010
998693,-1.57782e-010
998694,-1.82641e-010
998695,-1.86367e-010
998696,-1.89167e-010
998697,-2.1231e-010
998698,-1.95527e-010
998699,-1.81446e-010
998700,-1.28346e-010
998701,-2.1008e-010
998702,-1.73346e-010
998703,-1.78187e-010
998704,-1.57874e-010
998705,-1.33628e-010
998706,-1.75392e-010
998707,-1.97077e-010
998708,-1.86085e-010
998709,-2.12078e-010
998710,-2.15239e-010
998711,-1.81642e-010
998712,-2.00754e-010
998713,-2.00625e-010
998714,-1.71489e-010
998715,-1.92672e-010
998716,-1.88027e-010
998717,-1.99332e-010
998718,-2.03426e-010
998719,-2.0193e-010
998720,-1.69608e-010
998721,-1.74522e-010
998722,-1.80607e-010
998723,-2.03377e-010
998724,-1.6864e-010
998725,-1.86912e-010
998726,-1.82255e-010
998727,-1.50552e-010
998728,-1.36943e-010
998729,-2.02133e-010
998730,-1.99253e-010
998731,-1.84559e-010
998732,-1.78609e-010
998733,-1.75448e-010
998734,-1.43548e-010
998735,-1.6614e-010
998736,-2.06649e-010
998737,-1.5201e-010
998738,-1.61189e-010
998739,-1.31109e-010
998740,-1.89437e-010
998741,-1.77531e-010
998742,-1.91563e-010
998743,-1.66753e-010
998744,-1.84032e-010
998745,-1.62966e-010
998746,-1.84381e-010
998747,-2.03144e-010
998748,-2.02709e-010
998749,-2.06765e-010
998750,-1.65858e-010
998751,-1.52598e-010
998752,-1.63775e-010
998753,-1.89963e-010
998754,-2.11783e-010
998755,-2.16287e-010
998756,-2.14908e-010
998757,-2.05527e-010
998758,-2.02825e-010
998759,-2.01017e-010
998760,-1.79271e-010
998761,-1.84767e-010
998762,-1.76967e-010
998763,-1.64093e-010
998764,-1.86532e-010
998765,-1.69982e-010
998766,-2.1356e-010
998767,-1.33848e-010
998768,-1.56698e-010
998769,-1.83101e-010
998770,-2.09878e-010
998771,-1.52984e-010
998772,-1.68971e-010
998773,-1.65209e-010
998774,-1.88156e-010
998775,-1.96183e-010
998776,-1.52353e-010
998777,-1.65821e-010
998778,-1.7125e-010
998779,-1.84032e-010
998780,-2.00852e-010
998781,-2.00595e-010
998782,-1.79326e-010
998783,-1.63456e-010
998784,-1.72463e-010
998785,-2.16649e-010
998786,-1.98039e-010
998787,-1.71299e-010
998788,-2.03812e-010
998789,-2.10699e-010
998790,-1.93517e-010
998791,-1.5731e-010
998792,-1.77905e-010
998793,-1.9864e-010
998794,-1.77825e-010
998795,-2.16085e-010
998796,-1.66716e-010
998797,-1.67751e-010
998798,-1.97016e-010
998799,-2.19786e-010
998800,-2.01097e-010
998801,-1.49835e-010
998802,-1.80889e-010
998803,-1.79185e-010
998804,-1.78891e-010
998805,-1.80515e-010
998806,-1.71771e-010
998807,-1.9315e-010
998808,-1.67856e-010
998809,-1.76943e-010
998810,-1.58873e-010
998811,-1.55619e-010
998812,-1.31918e-010
998813,-1.4739e-010
998814,-2.03695e-010
998815,-1.71054e-010
998816,-1.99112e-010
998817,-2.622e-010
998818,-1.57641e-010
998819,-1.67666e-010
998820,-1.54737e-010
998821,-1.96042e-010
998822,-2.31177e-010
998823,-1.6065e-010
998824,-2.05919e-010
998825,-1.7902e-010
998826,-1.58897e-010
998827,-2.05601e-010
998828,-1.73309e-010
998829,-2.22304e-010
998830,-2.18223e-010
998831,-1.5799e-010
998832,-1.6549e-010
998833,-1.71452e-010
998834,-2.20221e-010
998835,-1.97782e-010
998836,-1.97298e-010
998837,-1.59651e-010
998838,-1.64057e-010
998839,-2.16275e-010
998840,-1.34449e-010
998841,-2.24645e-010
998842,-1.71992e-010
998843,-2.14676e-010
998844,-1.61826e-010
998845,-1.7103e-010
998846,-1.97359e-010
998847,-1.69008e-010
998848,-1.6046e-010
998849,-1.63187e-010
998850,-1.90662e-010
998851,-1.45742e-010
998852,-1.6549e-010
998853,-1.59436e-010
998854,-1.49473e-010
998855,-1.79633e-010
998856,-1.96256e-010
998857,-2.08395e-010
998858,-1.86299e-010
998859,-1.88861e-010
998860,-1.92225e-010
998861,-1.80975e-010
998862,-2.07071e-010
998863,-1.69712e-010
