LECROYWR104MXi,15731,Waveform
Segments,1,SegmentSize,1537
Segment,TrigTime,TimeSinceSegment1
#1,02-Dec-2012 09:14:22,0                 
Time,Ampl
998463,-1.62978e-010
998464,-1.18284e-010
998465,-3.21447e-011
998466,-1.77163e-010
998467,-1.53903e-010
998468,-1.16324e-010
998469,-1.58524e-010
998470,-1.3386e-010
998471,-1.5e-010
998472,-1.85239e-010
998473,-1.67384e-010
998474,-1.45098e-010
998475,-1.86747e-010
998476,-1.68946e-010
998477,-1.59112e-010
998478,-1.57298e-010
998479,-1.99149e-010
998480,-1.37788e-010
998481,-1.57439e-010
998482,-1.4712e-010
998483,-1.2636e-010
998484,-1.66152e-010
998485,-2.08125e-010
998486,-1.80092e-010
998487,-1.41183e-010
998488,-1.19473e-010
998489,-2.12476e-010
998490,-1.75178e-010
998491,-2.0133e-010
998492,-1.60086e-010
998493,-1.82292e-010
998494,-1.82843e-010
998495,-5.00613e-011
998496,-1.53113e-010
998497,-1.34798e-010
998498,-1.77917e-010
998499,-1.82304e-010
998500,-1.78033e-010
998501,-1.79951e-010
998502,-1.38456e-010
998503,-1.66477e-010
998504,-1.37788e-010
998505,-1.28744e-010
998506,-1.75705e-010
998507,-1.76011e-010
998508,-1.57512e-010
998509,-1.74957e-010
998510,-1.77941e-010
998511,-1.70209e-010
998512,-1.69418e-010
998513,-1.76085e-010
998514,-1.41973e-010
998515,-1.71814e-010
998516,-1.60435e-010
998517,-1.87696e-010
998518,-2.08407e-010
998519,-1.66655e-010
998520,-1.8557e-010
998521,-1.86618e-010
998522,-1.76802e-010
998523,-1.6171e-010
998524,-1.68009e-010
998525,-1.58395e-010
998526,-1.57899e-010
998527,-1.47071e-010
998528,-1.88781e-010
998529,-1.94853e-010
998530,-1.33787e-010
998531,-1.67586e-010
998532,-1.60012e-010
998533,-1.79032e-010
998534,-1.66796e-010
998535,-1.3769e-010
998536,-1.8758e-010
998537,-1.84584e-010
998538,-1.85687e-010
998539,-1.72169e-010
998540,-1.36508e-010
998541,-1.43842e-010
998542,-1.92139e-010
998543,-1.57923e-010
998544,-2.03695e-010
998545,-1.82629e-010
998546,-1.63285e-010
998547,-1.63033e-010
998548,-1.3655e-010
998549,-1.60025e-010
998550,-1.94951e-010
998551,-1.79633e-010
998552,-1.77261e-010
998553,-1.85356e-010
998554,-2.27182e-010
998555,-1.90932e-010
998556,-1.84314e-010
998557,-1.57837e-010
998558,-1.89731e-010
998559,-1.42243e-010
998560,-1.60852e-010
998561,-1.53033e-010
998562,-1.45264e-010
998563,-1.51128e-010
998564,-1.96091e-010
998565,-1.80656e-010
998566,-1.55515e-010
998567,-1.64553e-010
998568,-1.47647e-010
998569,-1.85993e-010
998570,-1.35386e-010
998571,-1.77978e-010
998572,-1.46943e-010
998573,-1.70968e-010
998574,-1.81422e-010
998575,-1.88064e-010
998576,-1.378e-010
998577,-1.33235e-010
998578,-1.57182e-010
998579,-1.58677e-010
998580,-2.37997e-010
998581,-1.69185e-010
998582,-1.67586e-010
998583,-1.05981e-010
998584,-1.66054e-010
998585,-1.46201e-010
998586,-1.06943e-010
998587,-1.76048e-010
998588,-1.59804e-010
998589,-1.46213e-010
998590,-1.66459e-010
998591,-1.44155e-010
998592,-1.59718e-010
998593,-1.44663e-010
998594,-1.07433e-010
998595,-1.42807e-010
998596,-1.72169e-010
998597,-2.06808e-010
998598,-1.66195e-010
998599,-1.64963e-010
998600,-1.44933e-010
998601,-1.57849e-010
998602,-1.36508e-010
998603,-1.48775e-010
998604,-1.57133e-010
998605,-1.26832e-010
998606,-1.28027e-010
998607,-1.50362e-010
998608,-1.70251e-010
998609,-1.56887e-010
998610,-1.6084e-010
998611,-1.55233e-010
998612,-1.53854e-010
998613,-1.90423e-010
998614,-1.53726e-010
998615,-1.35398e-010
998616,-1.7459e-010
998617,-1.29982e-010
998618,-1.82267e-010
998619,-1.73793e-010
998620,-1.45166e-010
998621,-1.60037e-010
998622,-1.39878e-010
998623,-1.77445e-010
998624,-1.52341e-010
998625,-1.61238e-010
998626,-1.83689e-010
998627,-1.65564e-010
998628,-1.40362e-010
998629,-1.73217e-010
998630,-1.58805e-010
998631,-1.76354e-010
998632,-1.72935e-010
998633,-1.72813e-010
998634,-1.66961e-010
998635,-1.20202e-010
998636,-1.93125e-010
998637,-1.7231e-010
998638,-1.73683e-010
998639,-2.14816e-010
998640,-1.82666e-010
998641,-1.52445e-010
998642,-1.80901e-010
998643,-1.70699e-010
998644,-1.70251e-010
998645,-1.70454e-010
998646,-1.37114e-010
998647,-1.61698e-010
998648,-1.55362e-010
998649,-1.60251e-010
998650,-1.5424e-010
998651,-1.38254e-010
998652,-1.53879e-010
998653,-2.00472e-010
998654,-1.94479e-010
998655,-1.7902e-010
998656,-1.58591e-010
998657,-1.85864e-010
998658,-1.37647e-010
998659,-1.38266e-010
998660,-1.67611e-010
998661,-1.59884e-010
998662,-1.87225e-010
998663,-1.31979e-010
998664,-1.36612e-010
998665,-1.90117e-010
998666,-1.94528e-010
998667,-1.20907e-010
998668,-1.64884e-010
998669,-1.30803e-010
998670,-1.45098e-010
998671,-1.38658e-010
998672,-1.77715e-010
998673,-1.95668e-010
998674,-1.72629e-010
998675,-1.57488e-010
998676,-2.1095e-010
998677,-1.45815e-010
998678,-1.24976e-010
998679,-1.91753e-010
998680,-1.64731e-010
998681,-1.76789e-010
998682,-1.84712e-010
998683,-1.3065e-010
998684,-1.84767e-010
998685,-1.93879e-010
998686,-1.59253e-010
998687,-1.3546e-010
998688,-1.60907e-010
998689,-1.73064e-010
998690,-1.91085e-010
998691,-1.7212e-010
998692,-2.13285e-010
998693,-1.73088e-010
998694,-1.87825e-010
998695,-1.49847e-010
998696,-1.74614e-010
998697,-1.88236e-010
998698,-1.8035e-010
998699,-1.74473e-010
998700,-2.21808e-010
998701,-1.64185e-010
998702,-1.85202e-010
998703,-1.88977e-010
998704,-1.73542e-010
998705,-1.57568e-010
998706,-1.71361e-010
